Sample:	
Run Date:	20-02-2020 19:57:52
Operator:	Hitachi spectro
Comment:	

Instrument
Model:	U-2010 Spectrophotometer
Serial Number:	9709-014
ROM Version:	2550 00

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.0 nm
Ending Wavelength:	200.0 nm
Scan Speed:	100 nm/min
Sampling Interval:	1.0 nm
Slit Width:	2 nm
Lamp Change:	370.0 nm
Baseline Correction:	System
Response:	Medium

Peak Integration
Area Method:	Rectangular
Threshold:	10.0% based on 1 highest peaks
Peak Width:	10.0 nm
Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)
306.0	-0.0092
305.0	-0.0095
304.0	-0.0095
303.0	-0.0097
302.0	-0.0100
301.0	-0.0104
300.0	-0.0108
299.0	-0.0110
298.0	-0.0113
297.0	-0.0117
296.0	-0.0120
295.0	-0.0121
294.0	-0.0125
293.0	-0.0125
292.0	-0.0125
291.0	-0.0125
290.0	-0.0125
289.0	-0.0125
288.0	-0.0122
287.0	-0.0116
286.0	-0.0109
285.0	-0.0102
284.0	-0.0093
283.0	-0.0081
282.0	-0.0065
281.0	-0.0048
280.0	-0.0029
279.0	-0.0005
278.0	0.0021
277.0	0.0049
276.0	0.0078
275.0	0.0109
274.0	0.0140
273.0	0.0172
272.0	0.0200
271.0	0.0223
270.0	0.0240
269.0	0.0252
268.0	0.0258
267.0	0.0255
266.0	0.0248
265.0	0.0237
264.0	0.0223
263.0	0.0207
262.0	0.0190
261.0	0.0171
260.0	0.0156
259.0	0.0141
258.0	0.0128
257.0	0.0119
256.0	0.0115
255.0	0.0116
254.0	0.0125
253.0	0.0141
252.0	0.0169
251.0	0.0214
250.0	0.0279
249.0	0.0369
248.0	0.0490
247.0	0.0653
246.0	0.0876
245.0	0.1174
244.0	0.1572
243.0	0.2111
242.0	0.2846
241.0	0.3822
240.0	0.5092
239.0	0.6739
238.0	0.8831
237.0	1.1397
236.0	1.4449
235.0	1.7852
234.0	2.0809
233.0	2.2147
232.0	2.2147
231.0	2.1192
230.0	1.9788
229.0	1.8125
228.0	1.6073
227.0	1.3615
226.0	1.0862
225.0	0.7948
224.0	0.5171
223.0	0.2930
222.0	0.1447
221.0	0.0671
220.0	0.0419
219.0	0.0448
218.0	0.0389
217.0	0.0241
216.0	0.0326
215.0	0.0553
214.0	0.0594
213.0	0.0460
212.0	0.0340
211.0	0.0184
210.0	-0.0026
209.0	-0.0155
208.0	-0.0138
207.0	-0.0012
206.0	0.0034
205.0	-0.0022
204.0	0.0020
203.0	0.0110
202.0	0.0191
201.0	0.0261
200.0	0.0215
